Data,Close,Open,High,Low,Var
2024-06-21,5.4309,5.4544,5.4623,5.4232,-0.0032
2024-06-20,5.4483,5.4367,5.4697,5.387,0.0022
2024-06-19,5.4362,5.4361,5.4832,5.4269,0.0001
2024-06-18,5.4359,5.4194,5.4446,5.3924,0.003
2024-06-17,5.4195,5.3763,5.4314,5.3717,0.0081
2024-06-14,5.3757,5.364,5.3875,5.3432,0.0023
2024-06-13,5.3636,5.4141,5.4164,5.3619,-0.009
2024-06-12,5.4123,5.3681,5.43,5.3362,0.0086
2024-06-11,5.3662,5.3548,5.3738,5.3351,0.0021
2024-06-10,5.3547,5.3349,5.3894,5.315,0.0019
2024-06-07,5.3448,5.2559,5.3489,5.2408,0.0169
2024-06-06,5.256,5.297,5.3092,5.2401,-0.0076
2024-06-05,5.2964,5.2868,5.3061,5.2597,0.0019
2024-06-04,5.2861,5.2477,5.2969,5.2452,0.0075
2024-06-03,5.2467,5.2459,5.2677,5.2137,0.0005
2024-05-31,5.2443,5.1997,5.2587,5.193,0.0079
2024-05-30,5.2034,5.2038,5.2038,5.2036,0.0003
2024-05-29,5.2018,5.1615,5.2141,5.1573,0.0079
2024-05-28,5.1611,5.1715,5.1738,5.1349,-0.0019
2024-05-27,5.1708,5.1713,5.1852,5.1557,0.0009
2024-05-24,5.166,5.1446,5.1767,5.1302,0.0042
2024-05-23,5.1442,5.1511,5.1607,5.1255,-0.0012
2024-05-22,5.1503,5.1228,5.1643,5.1219,0.0054
2024-05-21,5.1225,5.104,5.1254,5.0838,0.0038
2024-05-20,5.1033,5.1035,5.1293,5.0903,0
2024-05-17,5.1031,5.1288,5.1385,5.1003,-0.005
2024-05-16,5.1288,5.1373,5.14,5.1047,-0.0017
2024-05-15,5.1373,5.1302,5.1711,5.1204,0.0014
2024-05-14,5.1299,5.1511,5.1614,5.1234,-0.0041
2024-05-13,5.1511,5.1588,5.1649,5.123,-0.0014
2024-05-10,5.1584,5.1424,5.1614,5.1165,0.0033
2024-05-09,5.1412,5.0914,5.1775,5.0875,0.0099
2024-05-08,5.0909,5.0712,5.1083,5.0688,0.004
2024-05-07,5.0707,5.077,5.0847,5.0484,-0.001
2024-05-06,5.0758,5.0725,5.0917,5.0602,0.0007
2024-05-03,5.0722,5.111,5.1164,5.0437,-0.0076
2024-05-02,5.1113,5.194,5.194,5.0995,-0.0158
2024-05-01,5.1936,5.194,5.1999,5.1929,0
2024-04-30,5.1934,5.119,5.1975,5.1133,0.0146
2024-04-29,5.1189,5.117,5.1227,5.102,0.0007
2024-04-26,5.1151,5.1615,5.1673,5.1085,-0.0087
2024-04-25,5.1602,5.1472,5.1935,5.1099,0.0028
2024-04-24,5.1457,5.1263,5.172,5.1238,0.0038
2024-04-23,5.126,5.1674,5.1894,5.1182,-0.0081
2024-04-22,5.168,5.2021,5.2189,5.1633,-0.0067
2024-04-19,5.2027,5.2485,5.2778,5.1849,-0.0087
2024-04-18,5.2482,5.2421,5.2789,5.2284,0.0012
2024-04-17,5.242,5.2829,5.2916,5.2194,-0.0077
2024-04-16,5.2826,5.1851,5.2873,5.1817,0.0189
2024-04-15,5.1846,5.1149,5.2153,5.1031,0.0131
2024-04-12,5.1175,5.0922,5.1487,5.089,0.0051
2024-04-11,5.0917,5.0735,5.0931,5.058,0.0034
2024-04-10,5.0746,5.0092,5.0863,4.997,0.0131
2024-04-09,5.009,5.0281,5.031,4.9995,-0.0035
2024-04-08,5.0268,5.0665,5.0759,5.0247,-0.0076
2024-04-05,5.0655,5.0549,5.0746,5.028,0.0023
2024-04-04,5.0538,5.0392,5.0574,5.0043,0.0029
2024-04-03,5.0393,5.0584,5.0921,5.0349,-0.0036
2024-04-02,5.0576,5.0551,5.0631,5.0216,0.0007
2024-04-01,5.0543,5.0147,5.0708,5.0093,0.0078
2024-03-29,5.0153,5.0155,5.0163,5.0139,0.0005
2024-03-28,5.0129,4.9871,5.0184,4.9788,0.0053
2024-03-27,4.9866,4.9816,4.9942,4.9716,0.0012
2024-03-26,4.9808,4.9752,4.9942,4.9651,0.0011
2024-03-25,4.9751,5.0023,5.0065,4.9718,-0.0049
2024-03-22,4.9997,4.9781,5.0099,4.9739,0.0043
2024-03-21,4.9781,4.9688,4.9865,4.9504,0.0018
2024-03-20,4.9691,5.0313,5.0354,4.9649,-0.0121
2024-03-19,5.0301,5.0261,5.0557,5.01,0.001
2024-03-18,5.0253,4.996,5.0324,4.9834,0.0061
2024-03-15,4.9949,4.9897,5.0022,4.9812,0.0011
2024-03-14,4.9895,4.9705,4.9945,4.953,0.0039
2024-03-13,4.97,4.972,4.9887,4.9621,-0.0004
2024-03-12,4.9718,4.978,4.9957,4.9581,-0.0011
2024-03-11,4.9771,4.9835,5.0004,4.9598,-0.0007
