Data;Price
2004-01-01;49797
2004-01-02;49797
2004-01-03;49797
2004-01-04;49797
2004-01-05;49797
2004-01-06;49797
2004-01-07;49797
2004-01-08;49797
2004-01-09;49797
2004-01-10;49797
2004-01-11;49797
2004-01-12;49797
2004-01-13;49797
2004-01-14;49797
2004-01-15;49797
2004-01-16;49797
2004-01-17;49797
2004-01-18;49797
2004-01-19;49797
2004-01-20;49797
2004-01-21;49797
2004-01-22;49797
2004-01-23;49797
2004-01-24;49797
2004-01-25;49797
2004-01-26;49797
2004-01-27;49797
2004-01-28;49797
2004-01-29;49797
2004-01-30;49797
2004-01-31;49797
2004-02-01;49797
2004-02-02;49797
2004-02-03;49797
2004-02-04;49797
2004-02-05;48225
2004-02-06;48225
2004-02-07;48225
2004-02-08;48225
2004-02-09;48225
2004-02-10;48225
2004-02-11;48225
2004-02-12;48225
2004-02-13;48225
2004-02-14;48225
2004-02-15;48225
2004-02-16;48225
2004-02-17;48225
2004-02-18;48225
2004-02-19;48225
2004-02-20;48225
2004-02-21;48225
2004-02-22;48225
2004-02-23;48225
2004-02-24;48225
2004-02-25;48225
2004-02-26;48225
2004-02-27;48225
2004-02-28;48225
2004-02-29;48225
2004-03-01;48225
2004-03-02;48225
2004-03-03;48225
2004-03-04;55204
2004-03-05;55204
2004-03-06;55204
2004-03-07;55204
2004-03-08;55204
2004-03-09;55204
2004-03-10;55204
2004-03-11;55204
2004-03-12;55204
2004-03-13;55204
2004-03-14;55204
2004-03-15;55204
2004-03-16;55204
2004-03-17;55204
2004-03-18;55204
2004-03-19;55204
2004-03-20;55204
2004-03-21;55204
2004-03-22;55204
2004-03-23;55204
2004-03-24;55204
2004-03-25;55204
2004-03-26;55204
2004-03-27;55204
2004-03-28;55204
2004-03-29;55204
2004-03-30;55204
2004-03-31;55204
2004-04-01;54683
2004-04-02;54683
2004-04-03;54683
2004-04-04;54683
2004-04-05;54683
2004-04-06;54683
2004-04-07;54683
2004-04-08;54683
2004-04-09;54683
2004-04-10;54683
2004-04-11;54683
2004-04-12;54683
2004-04-13;54683
2004-04-14;54683
2004-04-15;54683
2004-04-16;54683
2004-04-17;54683
2004-04-18;54683
2004-04-19;54683
2004-04-20;54683
2004-04-21;54683
2004-04-22;54683
2004-04-23;54683
2004-04-24;54683
2004-04-25;54683
2004-04-26;54683
2004-04-27;54683
2004-04-28;54683
2004-04-29;54683
2004-04-30;54683
2004-05-01;54683
2004-05-02;54683
2004-05-03;54683
2004-05-04;54683
2004-05-05;54683
2004-05-06;51592
2004-05-07;51592
2004-05-08;51592
2004-05-09;51592
2004-05-10;51592
2004-05-11;51592
2004-05-12;51592
2004-05-13;51592
2004-05-14;51592
2004-05-15;51592
2004-05-16;51592
2004-05-17;51592
2004-05-18;51592
2004-05-19;51592
2004-05-20;51592
2004-05-21;51592
2004-05-22;51592
2004-05-23;51592
2004-05-24;51592
2004-05-25;51592
2004-05-26;51592
2004-05-27;51592
2004-05-28;51592
2004-05-29;51592
2004-05-30;51592
2004-05-31;51592
2004-06-01;51592
2004-06-02;51592
2004-06-03;51909
2004-06-04;51909
2004-06-05;51909
2004-06-06;51909
2004-06-07;51909
2004-06-08;51909
2004-06-09;51909
2004-06-10;51909
2004-06-11;51909
2004-06-12;51909
2004-06-13;51909
2004-06-14;51909
2004-06-15;51909
2004-06-16;51909
2004-06-17;51909
2004-06-18;51909
2004-06-19;51909
2004-06-20;51909
2004-06-21;51909
2004-06-22;51909
2004-06-23;51909
2004-06-24;51909
2004-06-25;51909
2004-06-26;51909
2004-06-27;51909
2004-06-28;51909
2004-06-29;51909
2004-06-30;51909
2004-07-01;55343
2004-07-02;55343
2004-07-03;55343
2004-07-04;55343
2004-07-05;55343
2004-07-06;55343
2004-07-07;55343
2004-07-08;55343
2004-07-09;55343
2004-07-10;55343
2004-07-11;55343
2004-07-12;55343
2004-07-13;55343
2004-07-14;55343
2004-07-15;55343
2004-07-16;55343
2004-07-17;55343
2004-07-18;55343
2004-07-19;55343
2004-07-20;55343
2004-07-21;55343
2004-07-22;55343
2004-07-23;55343
2004-07-24;55343
2004-07-25;55343
2004-07-26;55343
2004-07-27;55343
2004-07-28;55343
2004-07-29;55343
2004-07-30;55343
2004-07-31;55343
2004-08-01;55343
2004-08-02;55343
2004-08-03;55343
2004-08-04;55343
2004-08-05;55908
2004-08-06;55908
2004-08-07;55908
2004-08-08;55908
2004-08-09;55908
2004-08-10;55908
2004-08-11;55908
2004-08-12;55908
2004-08-13;55908
2004-08-14;55908
2004-08-15;55908
2004-08-16;55908
2004-08-17;55908
2004-08-18;55908
2004-08-19;55908
2004-08-20;55908
2004-08-21;55908
2004-08-22;55908
2004-08-23;55908
2004-08-24;55908
2004-08-25;55908
2004-08-26;55908
2004-08-27;55908
2004-08-28;55908
2004-08-29;55908
2004-08-30;55908
2004-08-31;55908
2004-09-01;55908
2004-09-02;58359
2004-09-03;58359
2004-09-04;58359
2004-09-05;58359
